UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_06028,NA,A few times a week
cscs_06029,NA,NA
cscs_06030,NA,A few times a month
cscs_06031,NA,Monthly
cscs_06032,28,Daily or almost daily
cscs_06033,NA,Daily or almost daily
cscs_06034,NA,NA
cscs_06035,23,NA
cscs_06036,NA,Daily or almost daily
cscs_06037,NA,NA
cscs_06039,NA,Daily or almost daily
cscs_06040,NA,Weekly
cscs_06041,NA,NA
cscs_06042,NA,NA
cscs_06043,NA,NA
cscs_06044,29,NA
cscs_06045,NA,NA
cscs_06046,24,NA
cscs_06047,NA,Daily or almost daily
cscs_06048,NA,NA
cscs_06049,NA,NA
cscs_06050,NA,NA
cscs_06051,NA,Daily or almost daily
cscs_06052,NA,NA
cscs_06054,31,A few times a week
cscs_06055,23,Daily or almost daily
cscs_06056,NA,NA
cscs_06058,NA,Daily or almost daily
cscs_06059,NA,A few times a week
cscs_06059,NA,Daily or almost daily
cscs_06059,NA,Daily or almost daily
cscs_06060,NA,A few times a week
cscs_06061,32,A few times a month
cscs_06062,NA,A few times a month
cscs_06063,NA,Monthly
cscs_06064,34,A few times a month
cscs_06065,NA,A few times a month
cscs_06066,36,Monthly
cscs_06067,NA,NA
cscs_06068,NA,Weekly
cscs_06069,32,Less than monthly
cscs_06070,NA,NA
cscs_06071,NA,NA
cscs_06072,NA,A few times a week
cscs_06073,NA,NA
cscs_06074,NA,NA
cscs_06077,NA,NA
cscs_06078,NA,NA
cscs_06079,NA,NA
cscs_06080,NA,NA
cscs_06081,NA,NA
cscs_06082,NA,A few times a week
cscs_06083,NA,NA
cscs_06085,39,NA
cscs_06086,NA,Weekly
cscs_06087,NA,Not in the past three months
cscs_06089,NA,A few times a week
cscs_06089,NA,Daily or almost daily
cscs_06090,NA,Daily or almost daily
cscs_06091,29,Weekly
cscs_06092,NA,NA
cscs_06093,NA,A few times a week
cscs_06094,NA,Daily or almost daily
cscs_06094,NA,Daily or almost daily
cscs_06095,NA,NA
cscs_06096,NA,NA
cscs_06097,NA,NA
cscs_06098,NA,Daily or almost daily
cscs_06099,NA,NA
cscs_06101,NA,NA
cscs_06102,32,Less than monthly
cscs_06103,24,Weekly
cscs_06104,NA,NA
cscs_06105,NA,NA
cscs_06106,NA,Weekly
cscs_06107,NA,NA
cscs_06108,NA,Daily or almost daily
cscs_06109,NA,NA
cscs_06110,NA,A few times a month
cscs_06111,NA,NA
cscs_06113,NA,NA
cscs_06114,NA,Not in the past three months
cscs_06115,NA,A few times a month
cscs_06116,NA,NA
cscs_06117,NA,NA
cscs_06118,NA,NA
cscs_06119,NA,NA
cscs_06120,NA,A few times a month
cscs_06122,NA,A few times a month
cscs_06123,NA,NA
cscs_06124,NA,Monthly
cscs_06125,NA,NA
cscs_06126,NA,NA
cscs_06127,NA,NA
cscs_06128,NA,NA
cscs_06129,NA,Daily or almost daily
cscs_06130,NA,Daily or almost daily
cscs_06131,19,A few times a month
cscs_06132,NA,NA
cscs_06133,NA,Less than monthly
cscs_06134,NA,NA
cscs_06135,NA,NA
cscs_06137,NA,NA
cscs_06139,25,Monthly
cscs_06142,NA,NA
cscs_06143,17,Daily or almost daily
cscs_06144,NA,A few times a month
cscs_06145,NA,NA
cscs_06147,NA,Daily or almost daily
cscs_06148,NA,NA
cscs_06149,29,Weekly
cscs_06150,NA,A few times a week
cscs_06151,NA,NA
cscs_06152,NA,NA
cscs_06153,NA,NA
cscs_06154,NA,Daily or almost daily
cscs_06155,NA,NA
cscs_06157,NA,Weekly
cscs_06158,NA,NA
cscs_06159,NA,NA
cscs_06160,27,A few times a month
cscs_06161,31,A few times a month
cscs_06162,28,NA
cscs_06163,NA,NA
cscs_06164,NA,Daily or almost daily
cscs_06165,NA,NA
cscs_06166,NA,A few times a week
cscs_06167,NA,NA
cscs_06169,NA,NA
cscs_06171,NA,A few times a month
cscs_06172,14,Daily or almost daily
cscs_06173,NA,NA
cscs_06174,NA,NA
cscs_06175,NA,NA
cscs_06176,NA,NA
cscs_06177,NA,NA
cscs_06178,NA,Daily or almost daily
cscs_06179,NA,NA
cscs_06180,NA,Daily or almost daily
cscs_06181,NA,NA
cscs_06182,NA,NA
cscs_06183,NA,NA
cscs_06185,NA,NA
cscs_06186,NA,NA
cscs_06187,NA,NA
cscs_06188,NA,A few times a month
cscs_06189,NA,A few times a week
cscs_06190,NA,A few times a week
cscs_06191,NA,NA
cscs_06192,NA,A few times a week
cscs_06193,NA,NA
cscs_06194,NA,A few times a week
cscs_06196,32,A few times a week
cscs_06197,NA,A few times a month
cscs_06198,NA,Weekly
cscs_06199,25,NA
cscs_06200,NA,NA
cscs_06201,NA,A few times a month
cscs_06202,NA,A few times a month
cscs_06203,NA,NA
cscs_06205,23,Daily or almost daily
cscs_06206,NA,A few times a week
cscs_06207,NA,NA
cscs_06209,NA,NA
cscs_06210,NA,NA
cscs_06211,NA,NA
cscs_06213,NA,Not in the past three months
cscs_06214,NA,A few times a week
cscs_06215,NA,A few times a week
cscs_06215,NA,Weekly
cscs_06215,NA,A few times a week
cscs_06216,33,A few times a month
cscs_06218,12,Weekly
cscs_06219,26,NA
cscs_06220,NA,NA
cscs_06221,NA,Less than monthly
cscs_06222,NA,A few times a week
cscs_06223,NA,Less than monthly
cscs_06223,NA,Monthly
cscs_06223,NA,A few times a month
cscs_06224,NA,NA
cscs_06225,19,A few times a month
cscs_06226,NA,NA
cscs_06228,NA,NA
cscs_06229,NA,A few times a week
cscs_06230,39,Daily or almost daily
cscs_06232,NA,NA
cscs_06233,NA,A few times a week
cscs_06234,30,A few times a month
cscs_06235,NA,A few times a week
cscs_06236,17,NA
cscs_06237,NA,Weekly
cscs_06238,NA,Less than monthly
cscs_06239,NA,NA
cscs_06240,NA,NA
cscs_06241,NA,A few times a week
cscs_06242,NA,NA
cscs_06243,NA,NA
cscs_06244,20,NA
cscs_06245,NA,A few times a month
cscs_06246,NA,NA
cscs_06247,NA,Weekly
cscs_06248,25,Daily or almost daily
cscs_06249,25,NA
cscs_06250,NA,NA
cscs_06251,NA,NA
cscs_06252,NA,Weekly
cscs_06253,NA,NA
cscs_06254,NA,Weekly
cscs_06255,NA,NA
cscs_06256,26,A few times a week
cscs_06257,NA,Monthly
cscs_06258,NA,NA
cscs_06259,NA,Daily or almost daily
cscs_06260,NA,NA
cscs_06262,NA,Daily or almost daily
cscs_06263,NA,Weekly
cscs_06264,NA,NA
cscs_06265,NA,NA
cscs_06266,NA,Weekly
cscs_06268,NA,A few times a week
cscs_06270,NA,A few times a week
cscs_06271,NA,A few times a month
cscs_06272,39,Less than monthly
cscs_06273,NA,NA
cscs_06274,32,A few times a week
cscs_06275,NA,NA
cscs_06276,16,Weekly
cscs_06277,NA,A few times a week
cscs_06278,28,Less than monthly
cscs_06279,NA,Daily or almost daily
cscs_06280,NA,NA
cscs_06281,NA,NA
cscs_06282,33,A few times a month
cscs_06283,NA,NA
cscs_06284,29,Weekly
cscs_06285,NA,NA
cscs_06286,NA,Weekly
cscs_06287,NA,NA
cscs_06288,NA,A few times a month
cscs_06289,NA,NA
cscs_06290,30,NA
cscs_06291,NA,NA
cscs_06293,NA,NA
cscs_06294,NA,NA
cscs_06295,NA,NA
cscs_06298,NA,Weekly
cscs_06299,NA,Daily or almost daily
cscs_06300,NA,NA
cscs_06301,28,Weekly
cscs_06302,NA,NA
cscs_06303,NA,Daily or almost daily
cscs_06304,NA,NA
cscs_06305,NA,Weekly
cscs_06306,NA,A few times a week
cscs_06308,NA,Daily or almost daily
cscs_06308,NA,A few times a month
cscs_06308,NA,Daily or almost daily
cscs_06309,14,Daily or almost daily
cscs_06310,17,Daily or almost daily
cscs_06311,NA,A few times a month
cscs_06312,NA,A few times a week
cscs_06313,NA,NA
cscs_06314,30,Weekly
cscs_06315,NA,NA
cscs_06316,30,Less than monthly
cscs_06317,NA,Not in the past three months
cscs_06318,NA,NA
cscs_06319,NA,NA
cscs_06320,NA,NA
cscs_06321,NA,Less than monthly
cscs_06322,NA,Monthly
cscs_06324,30,A few times a month
cscs_06325,NA,NA
cscs_06326,NA,Daily or almost daily
cscs_06327,36,A few times a week
cscs_06328,NA,NA
cscs_06331,NA,Daily or almost daily
cscs_06333,NA,Daily or almost daily
cscs_06334,NA,Daily or almost daily
cscs_06335,NA,NA
cscs_06336,NA,NA
cscs_06337,NA,Weekly
cscs_06337,NA,Weekly
cscs_06337,NA,Weekly
cscs_06338,NA,NA
cscs_06339,NA,NA
cscs_06340,27,NA
cscs_06341,NA,NA
cscs_06342,NA,A few times a week
cscs_06343,NA,NA
cscs_06344,NA,A few times a week
cscs_06344,NA,A few times a month
cscs_06344,NA,Weekly
cscs_06345,NA,A few times a month
cscs_06346,NA,NA
cscs_06347,27,A few times a week
cscs_06348,NA,NA
cscs_06349,NA,Weekly
cscs_06351,NA,NA
cscs_06352,15,NA
cscs_06353,NA,NA
cscs_06354,NA,NA
cscs_06355,NA,NA
cscs_06356,NA,A few times a month
cscs_06357,NA,NA
cscs_06358,NA,A few times a month
cscs_06360,NA,Daily or almost daily
cscs_06361,NA,A few times a month
cscs_06361,NA,Weekly
cscs_06361,NA,Monthly
cscs_06362,26,A few times a month
cscs_06363,NA,Daily or almost daily
cscs_06364,NA,Daily or almost daily
cscs_06365,NA,A few times a week
cscs_06365,NA,A few times a month
cscs_06365,NA,Weekly
cscs_06366,NA,A few times a month
cscs_06367,NA,A few times a month
cscs_06369,40,Weekly
cscs_06370,NA,NA
cscs_06372,NA,A few times a month
cscs_06373,NA,A few times a week
cscs_06374,NA,NA
cscs_06375,NA,A few times a month
cscs_06376,NA,NA
cscs_06377,NA,Monthly
cscs_06378,NA,NA
cscs_06379,NA,A few times a week
cscs_06380,NA,NA
cscs_06381,NA,NA
cscs_06382,NA,NA
cscs_06383,NA,NA
cscs_06384,NA,NA
cscs_06385,NA,NA
cscs_06386,NA,NA
cscs_06387,NA,NA
cscs_06388,NA,NA
cscs_06389,NA,NA
cscs_06390,NA,A few times a month
cscs_06391,NA,NA
cscs_06392,NA,NA
cscs_06393,NA,NA
cscs_06394,NA,Weekly
cscs_06395,NA,Daily or almost daily
cscs_06396,36,NA
cscs_06397,13,Less than monthly
cscs_06398,NA,A few times a week
cscs_06399,NA,NA
cscs_06401,NA,NA
cscs_06402,NA,A few times a week
cscs_06403,NA,NA
cscs_06404,NA,NA
cscs_06404,NA,NA
cscs_06405,NA,A few times a month
cscs_06407,NA,A few times a month
cscs_06409,NA,Daily or almost daily
cscs_06410,NA,Weekly
cscs_06411,22,A few times a week
cscs_06412,NA,Daily or almost daily
cscs_06413,34,Weekly
cscs_06414,NA,NA
cscs_06415,NA,A few times a week
cscs_06416,NA,A few times a month
cscs_06417,22,Monthly
cscs_06418,NA,NA
cscs_06419,NA,Monthly
cscs_06420,20,Monthly
cscs_06421,19,A few times a week
cscs_06422,NA,NA
cscs_06423,NA,A few times a week
cscs_06424,NA,NA
cscs_06425,NA,NA
cscs_06426,NA,NA
cscs_06428,NA,NA
cscs_06429,NA,NA
cscs_06430,NA,Weekly
cscs_06433,28,A few times a month
cscs_06434,NA,A few times a week
cscs_06435,NA,NA
cscs_06436,NA,NA
cscs_06437,NA,NA
cscs_06439,28,Daily or almost daily
cscs_06440,NA,NA
cscs_06441,NA,A few times a month
cscs_06442,NA,NA
cscs_06444,NA,NA
cscs_06445,NA,NA
cscs_06446,26,Less than monthly
cscs_06447,29,Daily or almost daily
cscs_06448,23,A few times a month
cscs_06449,26,A few times a month
cscs_06450,NA,Weekly
cscs_06451,NA,NA
cscs_06452,NA,Daily or almost daily
cscs_06453,NA,Weekly
cscs_06454,NA,NA
cscs_06456,NA,Monthly
cscs_06457,28,Weekly
cscs_06458,27,Daily or almost daily
cscs_06460,NA,NA
cscs_06461,NA,Less than monthly
cscs_06463,16,Daily or almost daily
cscs_06464,NA,Monthly
cscs_06465,NA,NA
cscs_06466,NA,NA
cscs_06467,NA,NA
cscs_06468,NA,NA
cscs_06469,30,A few times a month
cscs_06470,NA,NA
cscs_06471,NA,Weekly
cscs_06472,NA,A few times a week
cscs_06474,NA,A few times a month
cscs_06475,NA,NA
cscs_06476,NA,NA
cscs_06477,14,A few times a week
cscs_06478,NA,NA
cscs_06479,NA,NA
cscs_06480,NA,A few times a month
cscs_06481,NA,NA
cscs_06482,NA,NA
cscs_06483,20,Daily or almost daily
cscs_06484,NA,Daily or almost daily
cscs_06485,NA,NA
cscs_06487,NA,NA
cscs_06488,NA,Daily or almost daily
cscs_06489,NA,NA
cscs_06490,24,Daily or almost daily
cscs_06491,NA,A few times a month
cscs_06492,NA,NA
cscs_06493,NA,NA
cscs_06494,NA,NA
cscs_06495,NA,NA
cscs_06496,NA,Not in the past three months
cscs_06497,NA,A few times a week
cscs_06498,NA,Weekly
cscs_06499,NA,NA
cscs_06500,NA,NA
cscs_06501,NA,Daily or almost daily
cscs_06502,NA,NA
cscs_06503,22,Daily or almost daily
cscs_06504,25,Daily or almost daily
cscs_06505,NA,Monthly
cscs_06506,NA,A few times a month
cscs_06507,NA,Daily or almost daily
cscs_06508,NA,A few times a month
cscs_06509,NA,A few times a month
cscs_06509,NA,A few times a week
cscs_06510,NA,NA
cscs_06511,NA,NA
cscs_06513,NA,NA
cscs_06514,NA,Monthly
cscs_06515,NA,NA
cscs_06515,NA,A few times a week
cscs_06515,NA,A few times a week
cscs_06516,NA,NA
cscs_06517,NA,NA
cscs_06518,37,A few times a month
cscs_06519,17,Daily or almost daily
cscs_06520,NA,Weekly
cscs_06521,23,A few times a month
cscs_06522,NA,NA
cscs_06523,16,Daily or almost daily
cscs_06524,NA,NA
cscs_06525,NA,A few times a week
cscs_06526,NA,NA
cscs_06528,25,Daily or almost daily
cscs_06529,NA,NA
cscs_06530,NA,NA
cscs_06531,26,A few times a month
cscs_06532,NA,Daily or almost daily
cscs_06533,NA,NA
cscs_06534,NA,NA
cscs_06536,NA,NA
cscs_06538,NA,NA
cscs_06539,NA,A few times a week
cscs_06540,27,A few times a week
cscs_06542,NA,NA
cscs_06543,NA,NA
cscs_06544,NA,Daily or almost daily
cscs_06544,NA,NA
cscs_06544,NA,Daily or almost daily
cscs_06545,NA,NA
cscs_06546,NA,NA
cscs_06547,NA,A few times a month
cscs_06547,NA,Less than monthly
cscs_06547,NA,Less than monthly
cscs_06548,NA,NA
cscs_06549,NA,NA
cscs_06550,NA,NA
cscs_06551,NA,Monthly
cscs_06552,NA,NA
cscs_06553,NA,A few times a month
cscs_06554,NA,A few times a week
cscs_06554,NA,Weekly
cscs_06554,NA,A few times a week
cscs_06555,NA,A few times a week
cscs_06556,NA,NA
cscs_06557,NA,NA
cscs_06558,NA,NA
cscs_06561,NA,Weekly
cscs_06562,NA,NA
cscs_06563,NA,NA
cscs_06564,NA,A few times a month
cscs_06565,25,A few times a week
cscs_06566,NA,Daily or almost daily
cscs_06567,NA,NA
cscs_06568,NA,NA
cscs_06569,NA,Monthly
cscs_06570,NA,Daily or almost daily
cscs_06571,NA,NA
cscs_06572,NA,NA
cscs_06573,NA,NA
cscs_06574,NA,NA
cscs_06575,NA,NA
cscs_06576,NA,Daily or almost daily
cscs_06577,NA,Less than monthly
cscs_06578,22,A few times a week
cscs_06579,NA,Monthly
cscs_06580,NA,NA
cscs_06581,17,Daily or almost daily
cscs_06583,NA,NA
cscs_06584,16,A few times a month
cscs_06585,NA,Daily or almost daily
cscs_06586,NA,NA
cscs_06587,32,A few times a month
cscs_06588,NA,NA
cscs_06589,NA,Weekly
cscs_06590,22,Daily or almost daily
cscs_06591,NA,NA
cscs_06592,NA,NA
cscs_06593,NA,NA
cscs_06594,NA,A few times a week
cscs_06595,NA,NA
cscs_06597,NA,NA
cscs_06598,NA,Monthly
cscs_06599,19,Daily or almost daily
cscs_06600,NA,NA
cscs_06601,NA,Daily or almost daily
cscs_06602,13,Daily or almost daily
cscs_06603,NA,NA
cscs_06605,NA,NA
cscs_06606,NA,A few times a week
cscs_06607,NA,A few times a month
cscs_06608,NA,Daily or almost daily
cscs_06609,NA,NA
cscs_06610,8,NA
cscs_06612,NA,NA
cscs_06613,NA,NA
cscs_06614,17,A few times a week
cscs_06615,NA,Monthly
cscs_06616,NA,Less than monthly
cscs_06617,NA,NA
cscs_06618,NA,NA
cscs_06619,20,Daily or almost daily
cscs_06620,NA,NA
cscs_06621,27,A few times a month
cscs_06622,NA,NA
cscs_06623,28,Daily or almost daily
cscs_06625,34,Less than monthly
cscs_06626,NA,NA
cscs_06628,NA,NA
cscs_06629,NA,NA
cscs_06630,NA,NA
cscs_06631,NA,Weekly
cscs_06632,23,A few times a month
cscs_06633,NA,A few times a month
cscs_06634,NA,NA
cscs_06636,NA,Daily or almost daily
cscs_06638,NA,Weekly
cscs_06639,NA,NA
cscs_06640,NA,NA
cscs_06641,NA,NA
cscs_06642,NA,NA
cscs_06643,NA,NA
cscs_06644,NA,Daily or almost daily
cscs_06646,NA,NA
cscs_06647,NA,A few times a week
cscs_06648,12,Daily or almost daily
cscs_06649,NA,NA
cscs_06650,NA,A few times a month
cscs_06651,NA,NA
cscs_06652,NA,Less than monthly
cscs_06653,NA,Less than monthly
cscs_06654,NA,Weekly
cscs_06654,NA,Daily or almost daily
cscs_06654,NA,Weekly
cscs_06655,NA,Daily or almost daily
cscs_06655,NA,Daily or almost daily
cscs_06655,NA,Daily or almost daily
cscs_06656,9,NA
cscs_06657,28,Less than monthly
cscs_06659,NA,Weekly
cscs_06661,30,A few times a week
cscs_06662,NA,A few times a month
cscs_06663,32,A few times a month
cscs_06664,NA,NA
cscs_06665,NA,A few times a week
cscs_06665,NA,NA
cscs_06665,NA,Daily or almost daily
cscs_06666,NA,NA
cscs_06667,NA,NA
cscs_06668,19,Daily or almost daily
cscs_06670,NA,Weekly
cscs_06671,NA,NA
cscs_06672,NA,A few times a month
cscs_06673,11,Less than monthly
cscs_06674,NA,Daily or almost daily
cscs_06674,NA,Daily or almost daily
cscs_06674,NA,Daily or almost daily
cscs_06675,NA,NA
cscs_06676,8,Daily or almost daily
cscs_06679,NA,NA
cscs_06680,NA,Daily or almost daily
cscs_06680,NA,A few times a week
cscs_06680,NA,A few times a week
cscs_06681,NA,Daily or almost daily
cscs_06682,NA,NA
cscs_06683,NA,NA
cscs_06684,11,A few times a week
cscs_06685,NA,A few times a month
cscs_06686,NA,NA
cscs_06687,NA,A few times a week
cscs_06687,NA,A few times a month
cscs_06687,NA,A few times a week
cscs_06688,NA,NA
cscs_06689,NA,Weekly
cscs_06690,NA,NA
cscs_06691,NA,Weekly
cscs_06692,NA,NA
cscs_06693,11,A few times a week
cscs_06694,NA,Daily or almost daily
cscs_06695,NA,NA
cscs_06696,20,Daily or almost daily
cscs_06697,NA,A few times a week
cscs_06698,NA,Daily or almost daily
cscs_06699,20,Less than monthly
cscs_06700,13,Weekly
cscs_06701,NA,NA
cscs_06702,NA,NA
cscs_06703,NA,Daily or almost daily
cscs_06704,NA,NA
cscs_06705,NA,A few times a month
cscs_06706,NA,Weekly
cscs_06707,NA,NA
cscs_06708,NA,NA
cscs_06710,NA,A few times a month
cscs_06710,NA,A few times a month
cscs_06710,NA,A few times a week
cscs_06711,20,A few times a month
cscs_06712,NA,NA
cscs_06713,NA,NA
cscs_06714,NA,A few times a month
cscs_06715,28,NA
cscs_06716,NA,NA
cscs_06717,NA,Less than monthly
cscs_06718,NA,Daily or almost daily
cscs_06719,NA,Daily or almost daily
cscs_06720,NA,NA
cscs_06721,NA,Not in the past three months
cscs_06722,NA,A few times a week
cscs_06722,NA,A few times a week
cscs_06722,NA,Monthly
cscs_06723,NA,NA
cscs_06725,NA,Daily or almost daily
cscs_06725,NA,A few times a week
cscs_06725,NA,Daily or almost daily
cscs_06726,22,Daily or almost daily
cscs_06727,NA,NA
cscs_06728,NA,Daily or almost daily
cscs_06729,NA,NA
cscs_06730,NA,A few times a week
cscs_06731,NA,Monthly
cscs_06732,NA,A few times a month
cscs_06732,NA,A few times a week
cscs_06732,NA,A few times a week
cscs_06733,NA,NA
cscs_06735,NA,NA
cscs_06736,28,NA
cscs_06737,NA,NA
cscs_06738,NA,NA
cscs_06739,NA,Daily or almost daily
cscs_06740,NA,Weekly
cscs_06741,29,A few times a week
cscs_06742,NA,NA
cscs_06743,NA,Monthly
cscs_06744,NA,A few times a week
cscs_06745,NA,NA
cscs_06746,NA,Daily or almost daily
cscs_06747,NA,NA
cscs_06748,26,A few times a week
cscs_06749,NA,Weekly
cscs_06750,NA,NA
cscs_06751,NA,NA
cscs_06752,NA,A few times a week
cscs_06753,NA,Weekly
cscs_06754,NA,NA
cscs_06755,NA,NA
cscs_06756,NA,Daily or almost daily
cscs_06756,NA,A few times a week
cscs_06756,NA,Daily or almost daily
cscs_06757,NA,NA
cscs_06758,24,Daily or almost daily
cscs_06759,32,Weekly
cscs_06760,33,A few times a month
cscs_06761,NA,NA
cscs_06762,NA,A few times a month
cscs_06763,NA,Less than monthly
cscs_06764,15,A few times a week
cscs_06765,NA,A few times a month
cscs_06766,NA,Weekly
cscs_06767,NA,NA
cscs_06768,NA,A few times a week
cscs_06769,21,NA
cscs_06770,NA,NA
cscs_06771,NA,Weekly
cscs_06772,NA,NA
cscs_06773,NA,NA
cscs_06774,26,Less than monthly
cscs_06775,NA,A few times a month
cscs_06776,NA,A few times a week
cscs_06777,NA,Not in the past three months
cscs_06777,NA,Not in the past three months
cscs_06777,NA,Less than monthly
cscs_06778,NA,NA
cscs_06779,NA,A few times a month
cscs_06780,NA,Daily or almost daily
cscs_06781,NA,A few times a month
cscs_06782,NA,NA
cscs_06783,NA,NA
cscs_06784,35,Weekly
cscs_06785,NA,NA
cscs_06787,27,NA
cscs_06788,36,A few times a week
cscs_06789,NA,Not in the past three months
cscs_06790,NA,Not in the past three months
cscs_06792,NA,A few times a month
cscs_06793,NA,NA
cscs_06794,NA,NA
cscs_06795,NA,NA
cscs_06796,NA,Daily or almost daily
cscs_06797,NA,Less than monthly
cscs_06798,NA,Weekly
cscs_06799,NA,NA
cscs_06800,NA,A few times a month
cscs_06801,32,Daily or almost daily
cscs_06802,NA,Monthly
cscs_06804,NA,NA
cscs_06805,NA,NA
cscs_06806,NA,NA
cscs_06808,26,A few times a month
cscs_06809,35,A few times a week
cscs_06810,27,Daily or almost daily
cscs_06811,NA,NA
cscs_06812,NA,Weekly
cscs_06813,30,Less than monthly
cscs_06814,NA,A few times a month
cscs_06815,NA,NA
cscs_06816,NA,NA
cscs_06817,NA,NA
cscs_06818,NA,NA
cscs_06819,NA,NA
cscs_06820,NA,NA
cscs_06821,NA,Monthly
cscs_06822,12,Daily or almost daily
cscs_06823,NA,NA
cscs_06824,NA,Not in the past three months
cscs_06825,NA,Weekly
cscs_06826,NA,Weekly
cscs_06827,NA,NA
cscs_06828,NA,NA
cscs_06829,NA,NA
cscs_06830,NA,NA
cscs_06831,16,Daily or almost daily
cscs_06833,NA,Weekly
cscs_06834,NA,A few times a month
cscs_06835,NA,Weekly
cscs_06836,NA,NA
cscs_06837,NA,NA
cscs_06838,NA,A few times a month
cscs_06840,39,Less than monthly
cscs_06841,NA,NA
cscs_06842,NA,NA
cscs_06843,NA,Daily or almost daily
cscs_06845,NA,NA
cscs_06846,NA,NA
cscs_06847,NA,Less than monthly
cscs_06848,NA,A few times a week
cscs_06849,NA,NA
cscs_06850,24,NA
cscs_06851,NA,NA
cscs_06852,NA,A few times a month
cscs_06853,31,Weekly
cscs_06854,NA,NA
cscs_06855,25,Monthly
cscs_06856,NA,NA
cscs_06857,NA,NA
cscs_06858,20,A few times a week
cscs_06859,35,Less than monthly
cscs_06860,NA,A few times a month
cscs_06861,NA,Less than monthly
cscs_06862,NA,NA
cscs_06863,NA,Daily or almost daily
cscs_06864,NA,NA
cscs_06865,NA,Weekly
cscs_06866,NA,NA
cscs_06867,16,Monthly
cscs_06868,29,NA
cscs_06869,NA,Daily or almost daily
cscs_06870,NA,Daily or almost daily
cscs_06872,NA,NA
cscs_06873,NA,Daily or almost daily
cscs_06874,NA,NA
cscs_06875,NA,A few times a week
cscs_06876,NA,Less than monthly
cscs_06877,15,NA
cscs_06878,NA,Daily or almost daily
cscs_06879,NA,Monthly
cscs_06880,NA,NA
cscs_06881,16,Monthly
cscs_06882,NA,NA
cscs_06883,28,Daily or almost daily
cscs_06884,NA,Monthly
cscs_06885,27,A few times a week
cscs_06886,NA,A few times a week
cscs_06887,NA,A few times a week
cscs_06888,NA,NA
cscs_06889,NA,NA
cscs_06890,15,A few times a week
cscs_06892,NA,A few times a month
cscs_06893,NA,NA
cscs_06894,NA,NA
cscs_06895,NA,NA
cscs_06896,NA,A few times a week
cscs_06897,NA,NA
cscs_06898,NA,NA
cscs_06899,NA,NA
cscs_06900,25,NA
cscs_06901,NA,NA
cscs_06902,NA,Daily or almost daily
cscs_06903,NA,NA
cscs_06904,NA,NA
cscs_06907,NA,NA
cscs_06908,NA,NA
cscs_06909,NA,NA
cscs_06910,17,Daily or almost daily
cscs_06911,26,Weekly
cscs_06912,NA,NA
cscs_06913,NA,NA
cscs_06914,24,Daily or almost daily
cscs_06915,19,Daily or almost daily
cscs_06916,NA,NA
cscs_06917,NA,NA
cscs_06918,NA,NA
cscs_06919,NA,NA
cscs_06920,NA,NA
cscs_06921,NA,A few times a week
cscs_06922,26,Weekly
cscs_06923,31,A few times a month
cscs_06924,NA,A few times a week
cscs_06925,24,A few times a week
cscs_06926,NA,NA
cscs_06927,NA,Not in the past three months
cscs_06929,NA,A few times a week
cscs_06930,NA,NA
cscs_06931,NA,NA
cscs_06932,NA,Less than monthly
cscs_06933,NA,Monthly
cscs_06934,NA,NA
cscs_06935,NA,A few times a month
cscs_06936,NA,Daily or almost daily
cscs_06936,NA,Daily or almost daily
cscs_06936,NA,Daily or almost daily
cscs_06937,NA,NA
cscs_06938,NA,A few times a week
cscs_06939,NA,NA
cscs_06940,NA,NA
cscs_06941,25,A few times a week
cscs_06942,NA,Weekly
cscs_06944,NA,NA
cscs_06946,28,A few times a week
cscs_06947,NA,NA
cscs_06948,NA,NA
cscs_06949,NA,NA
cscs_06950,NA,NA
cscs_06952,NA,NA
cscs_06953,NA,NA
cscs_06954,NA,NA
cscs_06956,NA,NA
cscs_06957,NA,Weekly
cscs_06958,22,A few times a week
cscs_06959,17,A few times a week
cscs_06960,NA,NA
cscs_06961,NA,NA
cscs_06963,26,A few times a month
cscs_06964,NA,Daily or almost daily
cscs_06965,NA,NA
cscs_06966,NA,Daily or almost daily
cscs_06966,NA,Daily or almost daily
cscs_06966,NA,Daily or almost daily
cscs_06967,NA,NA
cscs_06968,NA,NA
cscs_06969,NA,Monthly
cscs_06972,NA,NA
cscs_06973,NA,A few times a month
cscs_06974,NA,A few times a month
cscs_06975,21,NA
cscs_06976,NA,Less than monthly
cscs_06977,23,A few times a week
cscs_06978,NA,Monthly
cscs_06979,21,Monthly
cscs_06980,NA,NA
cscs_06981,NA,NA
cscs_06982,NA,A few times a month
cscs_06983,NA,Weekly
cscs_06985,NA,NA
cscs_06986,NA,Monthly
cscs_06987,NA,Weekly
cscs_06988,21,NA
cscs_06989,31,A few times a month
cscs_06990,NA,A few times a month
cscs_06991,NA,NA
cscs_06992,NA,Weekly
cscs_06993,NA,NA
cscs_06994,18,NA
cscs_06995,NA,NA
cscs_06996,NA,NA
cscs_06997,39,A few times a month
cscs_06998,NA,A few times a month
cscs_06999,NA,Daily or almost daily
cscs_07000,28,NA
cscs_07001,NA,A few times a month
cscs_07002,NA,NA
cscs_07003,NA,A few times a week
cscs_07003,NA,A few times a week
cscs_07003,NA,Daily or almost daily
cscs_07004,NA,A few times a week
cscs_07005,NA,Daily or almost daily
cscs_07006,27,Daily or almost daily
