UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_00383,26,A few times a week
cscs_00384,NA,NA
cscs_00385,NA,Monthly
cscs_00386,NA,NA
cscs_00387,NA,NA
cscs_00388,28,Less than monthly
cscs_00389,NA,NA
cscs_00390,NA,NA
cscs_00391,NA,A few times a week
cscs_00392,NA,Daily or almost daily
cscs_00394,NA,NA
cscs_00395,NA,NA
cscs_00398,NA,A few times a week
cscs_00399,NA,NA
cscs_00400,NA,NA
cscs_00401,NA,NA
cscs_00402,NA,A few times a month
cscs_00403,NA,A few times a month
cscs_00404,NA,A few times a month
cscs_00405,11,Daily or almost daily
cscs_00406,NA,NA
cscs_00407,27,Less than monthly
cscs_00408,27,Weekly
cscs_00409,NA,Daily or almost daily
cscs_00410,28,NA
cscs_00411,37,NA
cscs_00413,NA,A few times a month
cscs_00413,NA,A few times a month
cscs_00413,NA,Monthly
cscs_00415,NA,A few times a week
cscs_00416,NA,Daily or almost daily
cscs_00416,NA,Daily or almost daily
cscs_00416,NA,Daily or almost daily
cscs_00417,19,A few times a week
cscs_00418,NA,A few times a month
cscs_00420,NA,Weekly
cscs_00421,22,NA
cscs_00422,22,A few times a week
cscs_00423,NA,Weekly
cscs_00424,30,Weekly
cscs_00425,NA,A few times a month
cscs_00426,NA,A few times a month
cscs_00426,NA,A few times a month
cscs_00427,NA,A few times a week
cscs_00428,NA,NA
cscs_00429,NA,NA
cscs_00430,NA,Weekly
cscs_00431,NA,A few times a month
cscs_00431,NA,A few times a week
cscs_00431,NA,A few times a week
cscs_00432,NA,NA
cscs_00433,NA,Daily or almost daily
cscs_00434,NA,Less than monthly
cscs_00436,NA,A few times a week
cscs_00437,NA,NA
cscs_00438,23,Daily or almost daily
cscs_00439,NA,NA
cscs_00440,NA,NA
cscs_00441,NA,NA
cscs_00442,20,A few times a week
cscs_00443,NA,A few times a month
cscs_00444,NA,Weekly
cscs_00444,NA,Weekly
cscs_00444,17,Weekly
cscs_00444,NA,A few times a month
cscs_00445,27,A few times a week
cscs_00446,15,A few times a month
cscs_00447,NA,Weekly
cscs_00448,20,Weekly
cscs_00450,NA,Less than monthly
cscs_00451,NA,Monthly
cscs_00452,NA,A few times a month
cscs_00453,NA,NA
cscs_00454,NA,Daily or almost daily
cscs_00455,NA,NA
cscs_00456,NA,NA
cscs_00457,NA,A few times a month
cscs_00458,35,A few times a week
cscs_00459,NA,NA
cscs_00460,NA,NA
cscs_00462,NA,Daily or almost daily
cscs_00463,14,Daily or almost daily
cscs_00464,NA,NA
cscs_00465,22,Weekly
cscs_00466,10,A few times a month
cscs_00467,NA,A few times a week
cscs_00468,NA,Less than monthly
cscs_00469,NA,Weekly
cscs_00470,33,Weekly
cscs_00471,NA,NA
cscs_00472,NA,A few times a week
cscs_00473,NA,NA
cscs_00474,37,A few times a week
cscs_00474,NA,Weekly
cscs_00475,11,Monthly
cscs_00476,NA,NA
cscs_00478,NA,NA
cscs_00479,NA,Monthly
cscs_00480,NA,NA
cscs_00481,NA,Not in the past three months
cscs_00482,NA,NA
cscs_00483,NA,NA
cscs_00484,NA,Daily or almost daily
cscs_00485,NA,A few times a month
cscs_00486,NA,NA
cscs_00487,NA,Daily or almost daily
cscs_00487,NA,Weekly
cscs_00488,NA,A few times a month
cscs_00489,NA,Daily or almost daily
cscs_00490,NA,NA
cscs_00491,NA,NA
cscs_00492,NA,NA
cscs_00493,NA,A few times a week
cscs_00494,NA,Daily or almost daily
cscs_00495,NA,NA
cscs_00497,19,A few times a month
cscs_00498,NA,NA
cscs_00500,NA,Weekly
cscs_00501,29,NA
cscs_00502,NA,NA
cscs_00503,NA,NA
cscs_00504,15,A few times a week
cscs_00505,NA,NA
cscs_00506,NA,NA
cscs_00507,NA,A few times a week
cscs_00508,NA,NA
cscs_00509,NA,NA
cscs_00510,NA,NA
cscs_00511,23,A few times a month
cscs_00512,NA,Daily or almost daily
cscs_00514,NA,NA
cscs_00515,NA,Weekly
cscs_00516,NA,A few times a month
cscs_00517,NA,Daily or almost daily
cscs_00518,NA,Daily or almost daily
cscs_00519,NA,NA
cscs_00520,20,Daily or almost daily
cscs_00522,NA,NA
cscs_00523,NA,Less than monthly
cscs_00526,NA,Daily or almost daily
cscs_00527,NA,NA
cscs_00528,NA,Daily or almost daily
cscs_00529,NA,A few times a week
cscs_00529,NA,A few times a week
cscs_00529,NA,Weekly
cscs_00530,NA,NA
cscs_00531,NA,Weekly
cscs_00532,NA,Daily or almost daily
cscs_00533,37,Less than monthly
cscs_00535,NA,NA
cscs_00537,NA,NA
cscs_00538,NA,Monthly
cscs_00539,NA,NA
cscs_00540,NA,A few times a month
cscs_00541,NA,NA
cscs_00542,NA,NA
cscs_00543,NA,A few times a month
cscs_00544,NA,A few times a week
cscs_00544,NA,Weekly
cscs_00544,NA,Weekly
cscs_00545,28,NA
cscs_00546,NA,Daily or almost daily
cscs_00547,NA,NA
cscs_00548,NA,A few times a month
cscs_00549,NA,NA
cscs_00551,28,A few times a week
cscs_00552,NA,Monthly
cscs_00554,20,Daily or almost daily
cscs_00555,NA,Less than monthly
cscs_00556,NA,A few times a week
cscs_00557,NA,NA
cscs_00558,30,Less than monthly
cscs_00560,NA,Daily or almost daily
cscs_00561,NA,NA
cscs_00562,NA,NA
cscs_00563,NA,NA
cscs_00564,NA,NA
cscs_00565,NA,NA
cscs_00566,NA,Daily or almost daily
cscs_00566,NA,A few times a week
cscs_00566,NA,A few times a week
cscs_00567,NA,A few times a week
cscs_00568,NA,NA
cscs_00570,NA,Daily or almost daily
cscs_00571,NA,Daily or almost daily
cscs_00572,18,Daily or almost daily
cscs_00573,36,Less than monthly
cscs_00574,NA,Weekly
cscs_00575,NA,NA
cscs_00576,NA,A few times a month
cscs_00577,NA,NA
cscs_00578,16,Daily or almost daily
cscs_00579,NA,NA
cscs_00580,NA,Daily or almost daily
cscs_00581,21,Less than monthly
cscs_00582,NA,NA
cscs_00583,NA,NA
cscs_00585,NA,NA
cscs_00587,8,A few times a month
cscs_00588,19,Daily or almost daily
cscs_00589,NA,NA
cscs_00590,24,Daily or almost daily
cscs_00591,NA,NA
cscs_00592,NA,Weekly
cscs_00592,21,A few times a month
cscs_00594,NA,NA
cscs_00595,NA,NA
cscs_00596,NA,NA
cscs_00597,NA,NA
cscs_00598,NA,NA
cscs_00599,NA,Weekly
cscs_00600,16,A few times a month
cscs_00601,NA,NA
cscs_00602,NA,A few times a month
cscs_00603,NA,Less than monthly
cscs_00604,NA,NA
cscs_00605,NA,NA
cscs_00606,NA,NA
cscs_00607,NA,NA
cscs_00608,NA,Monthly
cscs_00609,12,Daily or almost daily
cscs_00610,NA,A few times a month
cscs_00611,24,NA
cscs_00612,NA,A few times a month
cscs_00613,NA,A few times a month
cscs_00614,NA,NA
cscs_00616,16,Daily or almost daily
cscs_00617,NA,A few times a week
cscs_00618,NA,NA
cscs_00619,NA,A few times a month
cscs_00620,NA,NA
cscs_00621,10,Daily or almost daily
cscs_00622,NA,NA
cscs_00623,NA,NA
cscs_00624,NA,NA
cscs_00625,33,NA
